=a2: U+0073,	# LATIN SMALL LETTER S
=a3: U+0074,	# LATIN SMALL LETTER T
=a4: U+0075,	# LATIN SMALL LETTER U
=a5: U+0076,	# LATIN SMALL LETTER V
=a6: U+0077,	# LATIN SMALL LETTER W
=a7: U+0078,	# LATIN SMALL LETTER X
=a8: U+0079,	# LATIN SMALL LETTER Y
=a9: U+007a,	# LATIN SMALL LETTER Z
=aa: U+0000,	# UNDEFINED
=ab: U+0000,	# UNDEFINED
=ac: U+0000,	# UNDEFINED
=ad: U+0000,	# UNDEFINED
=ae: U+0000,	# UNDEFINED
=af: U+00ae,	# REGISTERED SIGN
=b0: U+005e,	# CIRCUMFLEX ACCENT
=b1: U+00a3,	# POUND SIGN
=b2: U+00a5,	# YEN SIGN
=b3: U+00b7,	# MIDDLE DOT
=b4: U+00a9,	# COPYRIGHT SIGN
=b5: U+00a7,	# SECTION SIGN
=b7: U+00bc,	# VULGAR FRACTION ONE QUARTER
=b8: U+00bd,	# VULGAR FRACTION ONE HALF
=b9: U+00be,	# VULGAR FRACTION THREE QUARTERS
=ba: U+005b,	# LEFT SQUARE BRACKET
=bb: U+005d,	# RIGHT SQUARE BRACKET
=bc: U+00af,	# MACRON
=bd: U+00a8,	# DIAERESIS
=be: U+00b4,	# ACUTE ACCENT
=bf: U+00d7,	# MULTIPLICATION SIGN
=c0: U+007b,	# LEFT CURLY BRACKET
=c1: U+0041,	# LATIN CAPITAL LETTER A
=c2: U+0042,	# LATIN CAPITAL LETTER B
=c3: U+0043,	# LATIN CAPITAL LETTER C
=c4: U+0044,	# LATIN CAPITAL LETTER D
=c5: U+0045,	# LATIN CAPITAL LETTER E
=c6: U+0046,	# LATIN CAPITAL LETTER F
=c7: U+0047,	# LATIN CAPITAL LETTER G
=c8: U+0048,	# LATIN CAPITAL LETTER H
=c9: U+0049,	# LATIN CAPITAL LETTER I
=ca: U+00ad,	# SOFT HYPHEN
=cb: U+0000,	# UNDEFINED
=cc: U+0000,	# UNDEFINED
=cd: U+0000,	# UNDEFINED
=ce: U+0000,	# UNDEFINED
=cf: U+0000,	# UNDEFINED
=d0: U+007d,	# RIGHT CURLY BRACKET
=d1: U+004a,	# LATIN CAPITAL LETTER J
=d2: U+004b,	# LATIN CAPITAL LETTER K
=d3: U+004c,	# LATIN CAPITAL LETTER L
=d4: U+004d,	# LATIN CAPITAL LETTER M
=d5: U+004e,	# LATIN CAPITAL LETTER N
=d6: U+004f,	# LATIN CAPITAL LETTER O
=d7: U+0050,	# LATIN CAPITAL LETTER P
=d8: U+0051,	# LATIN CAPITAL LETTER Q
=d9: U+0052,	# LATIN CAPITAL LETTER R
=da: U+00b9,	# SUPERSCRIPT ONE
=db: U+0000,	# UNDEFINED
=dc: U+0000,	# UNDEFINED
=dd: U+0000,	# UNDEFINED
=de: U+0000,	# UNDEFINED
=df: U+0000,	# UNDEFINED
=e0: U+005c,	# REVERSE SOLIDUS
=e1: U+00f7,	# DIVISION SIGN
=e2: U+0053,	# LATIN CAPITAL LETTER S
=e3: U+0054,	# LATIN CAPITAL LETTER T
=e4: U+0055,	# LATIN CAPITAL LETTER U
=e5: U+0056,	# LATIN CAPITAL LETTER V
=e6: U+0057,	# LATIN CAPITAL LETTER W
=e7: U+0058,	# LATIN CAPITAL LETTER X
=e8: U+0059,	# LATIN CAPITAL LETTER Y
=e9: U+005a,	# LATIN CAPITAL LETTER Z
=ea: U+00b2,	# SUPERSCRIPT TWO
=eb: U+0000,	# UNDEFINED
=ec: U+0000,	# UNDEFINED
=ed: U+0000,	# UNDEFINED
=ee: U+0000,	# UNDEFINED
=ef: U+0000,	# UNDEFINED
=f0: U+0030,	# DIGIT ZERO
=f1: U+0031,	# DIGIT ONE
=f2: U+0032,	# DIGIT TWO
=f3: U+0033,	# DIGIT THREE
=f4: U+0034,	# DIGIT FOUR
=f5: U+0035,	# DIGIT FIVE
=f6: U+0036,	# DIGIT SIX
=f7: U+0037,	# DIGIT SEVEN
=f8: U+0038,	# DIGIT EIGHT
=f9: U+0039,	# DIGIT NINE
=fa: U+00b3,	# SUPERSCRIPT THREE
=fb: U+0000,	# UNDEFINED
=fc: U+0000,	# UNDEFINED
=fd: U+0000,	# UNDEFINED
=fe: U+0000,	# UNDEFINED
=ff: U+009f,	# EIGHT ONES
